lat,lng,name,address,date,vtemp,vcook,vhygiene,vcontam,vsource
37.879323,-122.269626,FRENCH HOTEL CAFE,1540 SHATTUCK AVE,2/16/2012,0,0,0,1,0
37.878856,-122.269806,ANDRONICO'S PARK &amp; SHOP,1550 SHATTUCK AVE,5/24/2011,0,0,0,0,0
37.875036,-122.293699,THE ACME BREAD CO.,1601 SAN PABLO AVE,1/20/2012,0,0,0,0,0
37.875364,-122.294492,SAN PABLO MINI-MART,1580 SAN PABLO AVE,1/11/2012,0,0,0,0,0
37.875565,-122.300968,JIMMY BEAN'S CATERING,1451 FIFTH ST,9/14/2011,0,0,1,1,0
37.877626,-122.2952421,BLESSED GARDEN RESTAURANT,1428 SAN PABLO AVE,8/2/2011,0,0,0,1,0
37.876142,-122.303424,GEORGE CATERING SERVICES,701 PAGE ST,7/13/2011,0,0,0,1,0
37.8782468,-122.3012766,PICANTE TAQUERIA,1328 SIXTH ST,10/31/2011,0,0,0,1,0
37.8802247,-122.2963155,DELTAN DIVERSIFIED INC,1300 SAN PABLO AVE,PENDING,-1,-1,-1,-1,-1
37.879425,-122.296354,CHIPOTLE MEXICAN GRILL,1050 GILMAN ST,11/3/2011,0,0,0,0,0
37.88197,-122.296689,CHURCH'S FRIED CHICKEN,1200 SAN PABLO AVE,11/30/2011,0,0,0,1,0
37.881529,-122.296581,TOKYO FISH MARKET,1220 SAN PABLO AVE,1/26/2012,0,0,1,0,0
37.8802656,-122.296973,HAPPY DONUTS,1041 GILMAN ST,6/27/2011,0,0,0,1,0
37.881137,-122.296919,STUDIO GROW LLC,1235 TENTH ST,7/9/2012,0,0,0,0,0
37.8797526,-122.299793,PYRAMID ALE HOUSE,901 GILMAN ST,4/19/2012,2,0,0,1,0
37.8794774,-122.3016124,JIMMY BEANS,1290 SIXTH ST,6/25/2012,1,0,0,1,0
37.882531,-122.296874,MCDONALD'S,1198 SAN PABLO AVE,11/30/2011,0,0,0,0,0
37.8812819,-122.2893898,COFFEE CONSCIOUS,1312 GILMAN ST,PENDING,-1,-1,-1,-1,-1
37.8804157,-122.2954723,TEA FRAGRANCE HOUSE,1301 SAN PABLO AVE,7/16/2012,0,0,0,1,0
37.879014,-122.294972,CHEVRON #306143,1399 SAN PABLO AVE,5/12/2011,0,0,0,0,0
37.8795705,-122.2951772,LA PALMITA,1335 SAN PABLO AVE,1/17/2012,0,0,0,1,0
37.880135,-122.295338,ASHKENAZ MUSIC &amp; DANCE COMM.,1317 SAN PABLO AVE,2/7/2012,0,0,0,0,0
37.8810829,-122.295641,MEAL TICKET,1235 SAN PABLO AVE,2/29/2012,0,0,0,0,0
37.881153,-122.29566,SABUY SABUY II,1233 SAN PABLO AVE,2/7/2012,1,0,0,1,0
37.8815492,-122.2904867,BERKELEY BAGELS CORP.,1281 GILMAN ST,5/31/2011,0,0,0,1,0
37.8815492,-122.2904843,TOOT SWEET BAKERY &amp; DONUT,1277 GILMAN ST,7/17/2012,0,0,0,0,0
37.8811509,-122.2887197,LALIME'S,1329 GILMAN ST,9/19/2011,0,0,0,1,0
37.881121,-122.2887214,BERKELEY NATURAL GROCERY CO.,1330 GILMAN ST,PENDING,-1,-1,-1,-1,-1
37.881755,-122.2823076,ESPRESSO ROMA,1549 HOPKINS ST,3/1/2012,0,0,0,1,0
37.8581636,-122.2528749,A.G. FERRARI FOODS,2905 COLLEGE AVE,8/30/2011,0,0,0,1,0
37.858328,-122.252854,SWEET DREAMS,2901 COLLEGE AVE,1/12/2012,0,0,0,0,0
37.8815835,-122.2817106,MAGNANI POULTRY,1576 HOPKINS ST,5/14/2012,0,0,0,1,0
37.8816289,-122.2816462,COUNTRY CHEESE COFFEE MARKET,1578 HOPKINS ST 7000,9/22/2011,0,0,0,0,0
37.8817231,-122.2816516,LILLY'S RESTAURANT,1580 HOPKINS ST 7000,2/22/2012,1,0,0,0,0
37.8817509,-122.2815816,MONTEREY FISH MARKET,1582 HOPKINS ST 7000,4/10/2012,0,0,0,0,0
37.8817139,-122.2814877,HOPKINS STREET BAKERY,1584 HOPKINS ST,1/4/2012,1,0,0,1,0
37.8819343,-122.2813897,MONTEREY LIQUORS,1590 HOPKINS ST,PENDING,-1,-1,-1,-1,-1
37.8815512,-122.2743207,FAT APPLE'S INC.,1346 M L KING JR WY,1/30/2012,0,0,0,0,0
37.881721,-122.273851,ROSE &amp; GROVE MARKET,1343 M L KING JR WY,5/8/2012,0,0,0,0,0
37.856252,-122.252655,KING YEN,2995 COLLEGE AVE,5/21/2012,1,0,0,1,0
37.8565479,-122.252697,FAR LEAVES TEA,2979 COLLEGE AVE,7/18/2011,0,0,0,0,0
37.8564688,-122.2527587,MARC 49,2985 COLLEGE AVE,7/27/2011,0,0,0,0,0
37.8563461,-122.2529609,GORDO TAQUERIA,2989 COLLEGE AVE,4/4/2012,0,0,0,0,0
37.8562197,-122.2529469,TRATTORIA LA SICILLIAN,2993 COLLEGE AVE,7/27/2011,0,0,0,0,0
